order_id,customer_id,order_date,payment_method,order_status
81,818,2024-07-30,UPI,Delivered
82,177,2026-01-04,Debit Card,Delivered
83,74,2025-07-02,Credit Card,Delivered
84,814,2025-02-06,Credit Card,Cancelled
85,584,2025-11-11,UPI,Delivered
86,42,2024-01-07,UPI,Cancelled
87,21,2024-08-22,UPI,Cancelled
88,170,2024-07-06,UPI,Cancelled
89,802,2025-04-10,COD,Delivered
90,442,2025-02-14,COD,Delivered
91,851,2025-02-05,Debit Card,Delivered
92,443,2025-08-18,Debit Card,Delivered
93,415,2024-03-25,Credit Card,Delivered
94,541,2025-08-05,Credit Card,Delivered
95,83,2024-08-08,UPI,Cancelled
96,285,2025-10-08,Credit Card,Cancelled
97,975,2024-02-02,COD,Delivered
98,881,2024-09-06,Debit Card,Delivered
99,487,2025-02-11,COD,Delivered
100,75,2025-11-24,Debit Card,Cancelled
101,772,2024-12-21,COD,Delivered
102,620,2025-09-15,Debit Card,Cancelled
103,328,2024-05-11,COD,Cancelled
104,844,2025-12-15,Debit Card,Cancelled
105,643,2025-03-23,Debit Card,Delivered
106,315,2025-11-27,UPI,Delivered
107,749,2024-01-22,Credit Card,Delivered
108,652,2025-03-04,Credit Card,Cancelled
109,214,2025-12-15,Debit Card,Delivered
110,412,2026-01-02,UPI,Delivered
111,210,2025-08-11,Credit Card,Delivered
112,442,2024-02-19,COD,Delivered
113,745,2025-04-16,UPI,Delivered
114,457,2025-12-15,COD,Delivered
115,201,2025-08-20,COD,Delivered
116,336,2024-01-16,Debit Card,Delivered
117,45,2024-07-18,COD,Delivered
118,233,2025-09-27,Credit Card,Delivered
119,672,2024-12-09,Debit Card,Delivered
120,422,2024-04-25,Credit Card,Cancelled
121,587,2024-03-23,UPI,Cancelled
122,755,2024-02-25,Debit Card,Delivered
123,119,2025-09-07,Debit Card,Delivered
124,33,2025-05-17,Credit Card,Delivered
125,25,2024-06-22,UPI,Delivered
126,997,2024-02-08,COD,Delivered
127,74,2025-12-03,Debit Card,Cancelled
128,385,2024-10-07,COD,Delivered
129,992,2025-06-06,Debit Card,Delivered
130,392,2024-05-28,Debit Card,Cancelled
131,579,2024-03-11,COD,Delivered
132,937,2025-02-23,Debit Card,Delivered
133,358,2024-03-19,UPI,Delivered
134,742,2025-02-27,UPI,Cancelled
135,885,2024-08-02,UPI,Cancelled
136,836,2025-03-17,UPI,Cancelled
137,994,2025-05-16,UPI,Delivered
138,186,2025-05-28,COD,Delivered
139,136,2025-06-08,Debit Card,Delivered
140,343,2024-05-02,UPI,Delivered
141,490,2024-06-01,UPI,Delivered
142,51,2025-04-29,Credit Card,Cancelled
143,166,2024-03-17,Debit Card,Cancelled
144,654,2025-08-26,Credit Card,Delivered
145,109,2025-05-19,Credit Card,Cancelled
146,492,2025-08-18,Credit Card,Delivered
147,856,2025-04-21,COD,Delivered
148,373,2025-04-30,Credit Card,Cancelled
149,623,2025-09-05,COD,Delivered
150,392,2025-08-20,Credit Card,Cancelled
151,421,2025-07-10,Debit Card,Cancelled
152,375,2024-11-15,COD,Delivered
153,233,2025-03-30,Credit Card,Delivered
154,320,2024-04-21,COD,Delivered
155,842,2024-03-17,Credit Card,Delivered
156,270,2024-06-14,COD,Cancelled
157,885,2024-12-09,COD,Delivered
158,925,2024-11-20,COD,Delivered
159,44,2024-03-21,COD,Delivered
160,290,2025-05-30,Credit Card,Cancelled
161,321,2025-06-30,UPI,Cancelled
162,604,2025-05-25,Debit Card,Delivered
163,591,2024-12-21,Debit Card,Delivered
164,682,2025-12-01,Debit Card,Cancelled
165,462,2024-07-12,COD,Delivered
166,469,2024-10-28,COD,Cancelled
167,432,2025-12-04,UPI,Cancelled
168,298,2025-05-29,Credit Card,Delivered
169,403,2024-11-04,Credit Card,Delivered
170,839,2024-03-19,UPI,Delivered
171,244,2025-03-28,Debit Card,Delivered
172,649,2024-02-17,UPI,Delivered
173,552,2024-04-08,COD,Delivered
174,558,2025-01-05,Debit Card,Cancelled
175,114,2024-06-15,Debit Card,Delivered
176,761,2024-07-24,COD,Cancelled
177,905,2024-12-31,COD,Delivered
178,520,2025-09-01,Debit Card,Cancelled
179,744,2025-07-22,UPI,Delivered
180,95,2025-06-11,COD,Cancelled
181,159,2025-11-29,Credit Card,Cancelled
182,114,2024-04-13,UPI,Delivered
183,658,2025-01-21,UPI,Cancelled
184,463,2025-07-20,UPI,Cancelled
185,605,2024-09-08,Debit Card,Delivered
186,163,2024-07-31,COD,Delivered
187,532,2025-05-05,Debit Card,Delivered
188,894,2024-12-08,UPI,Cancelled
189,602,2024-12-13,COD,Delivered
190,216,2025-08-15,COD,Cancelled
191,583,2025-08-31,UPI,Delivered
192,883,2024-08-27,UPI,Delivered
193,325,2025-10-10,Credit Card,Delivered
194,462,2024-07-07,COD,Delivered
195,861,2025-03-07,Debit Card,Cancelled
196,156,2025-04-02,Credit Card,Cancelled
197,149,2024-09-01,Debit Card,Delivered
198,922,2025-05-10,UPI,Delivered
199,94,2024-08-14,Debit Card,Cancelled
200,229,2024-12-02,Credit Card,Delivered
201,684,2025-01-23,Credit Card,Cancelled
202,15,2024-05-19,UPI,Cancelled
203,13,2025-11-02,Credit Card,Delivered
204,957,2024-08-21,Debit Card,Delivered
205,987,2024-02-19,UPI,Delivered
206,737,2024-09-07,COD,Delivered
207,872,2025-03-11,Credit Card,Cancelled
208,878,2025-11-15,Credit Card,Delivered
209,216,2024-06-11,Debit Card,Cancelled
210,383,2024-12-08,Debit Card,Delivered
211,858,2024-12-07,Credit Card,Cancelled
212,2,2025-07-13,Credit Card,Cancelled
213,46,2024-12-16,UPI,Cancelled
214,241,2025-07-21,UPI,Delivered
215,183,2024-06-27,Credit Card,Cancelled
216,736,2024-01-11,COD,Cancelled
217,613,2024-08-29,Debit Card,Cancelled
218,968,2025-01-26,UPI,Delivered
219,582,2024-12-16,COD,Delivered
220,620,2024-04-22,Debit Card,Delivered
221,61,2025-10-01,COD,Cancelled
222,839,2024-11-27,Credit Card,Delivered
223,764,2024-08-26,Credit Card,Cancelled
224,399,2025-01-20,Debit Card,Delivered
225,64,2024-07-23,Debit Card,Delivered
226,440,2025-09-26,UPI,Cancelled
227,835,2025-06-24,Debit Card,Delivered
228,439,2024-02-21,Credit Card,Cancelled
229,683,2025-05-13,COD,Delivered
230,990,2024-07-16,Debit Card,Cancelled
231,441,2025-07-09,Credit Card,Delivered
232,498,2025-03-04,Credit Card,Delivered
233,304,2025-01-14,COD,Cancelled
234,464,2025-07-04,Credit Card,Cancelled
235,906,2024-06-17,UPI,Delivered
236,134,2025-08-03,COD,Cancelled
237,469,2025-03-06,COD,Delivered
238,334,2024-12-27,Credit Card,Delivered
239,794,2024-05-01,Debit Card,Delivered
240,552,2024-10-09,Debit Card,Cancelled
241,892,2025-10-13,Debit Card,Delivered
242,442,2024-10-13,Credit Card,Delivered
243,431,2025-06-11,Debit Card,Delivered
244,855,2024-12-05,Debit Card,Delivered
245,477,2024-12-20,COD,Delivered
246,15,2025-05-17,Credit Card,Delivered
247,840,2024-03-27,COD,Delivered
248,778,2024-07-19,Debit Card,Cancelled
249,639,2025-03-26,Debit Card,Delivered
250,746,2024-12-29,UPI,Delivered
251,902,2024-11-26,Debit Card,Delivered
252,759,2025-04-16,UPI,Delivered
253,281,2024-07-26,UPI,Delivered
254,542,2024-01-15,Debit Card,Delivered
255,454,2025-10-17,Debit Card,Delivered
256,271,2025-12-16,Debit Card,Delivered
257,444,2024-10-13,COD,Cancelled
258,561,2025-09-08,Credit Card,Cancelled
259,862,2025-08-21,Credit Card,Delivered
260,742,2024-07-08,Debit Card,Cancelled
261,615,2025-05-10,Debit Card,Delivered
262,673,2024-10-07,Credit Card,Delivered
263,462,2024-07-21,Debit Card,Cancelled
264,236,2024-04-24,UPI,Delivered
265,358,2025-09-21,Debit Card,Delivered
266,920,2025-10-22,COD,Cancelled
267,392,2025-07-08,UPI,Cancelled
268,153,2025-09-04,Credit Card,Delivered
269,971,2025-01-23,UPI,Delivered
270,5,2024-06-18,Debit Card,Delivered
271,794,2025-02-20,Credit Card,Delivered
272,132,2024-05-12,Credit Card,Delivered
273,38,2024-08-01,Credit Card,Cancelled
274,464,2024-07-05,Debit Card,Delivered
275,987,2025-03-31,UPI,Delivered
276,443,2025-11-01,Credit Card,Cancelled
277,839,2024-06-08,COD,Cancelled
278,551,2025-01-20,Debit Card,Cancelled
279,917,2024-07-25,Debit Card,Delivered
280,586,2024-07-18,Debit Card,Cancelled
281,780,2025-05-11,UPI,Delivered
282,745,2024-05-13,Debit Card,Cancelled
283,120,2024-03-31,COD,Cancelled
284,31,2025-09-28,Debit Card,Delivered
285,755,2025-06-23,Debit Card,Delivered
286,763,2024-09-28,UPI,Cancelled
287,291,2024-02-29,Debit Card,Delivered
288,121,2025-07-17,UPI,Cancelled
289,941,2024-07-16,Credit Card,Cancelled
290,418,2024-12-09,COD,Delivered
291,246,2024-02-24,COD,Cancelled
292,312,2025-03-24,Credit Card,Delivered
293,446,2024-09-06,Credit Card,Delivered
294,139,2025-10-26,Debit Card,Delivered
295,845,2025-11-08,UPI,Cancelled
296,914,2024-08-07,UPI,Cancelled
297,219,2025-11-02,COD,Cancelled
298,41,2024-02-08,COD,Delivered
299,87,2025-04-15,Debit Card,Delivered
300,793,2024-10-06,UPI,Delivered
301,481,2025-08-17,COD,Delivered
302,235,2024-08-11,COD,Cancelled
303,290,2024-11-02,Debit Card,Delivered
304,752,2025-02-27,COD,Cancelled
305,143,2024-07-13,COD,Delivered
306,839,2025-04-23,COD,Delivered
307,244,2025-10-04,Debit Card,Delivered
308,657,2025-07-13,Debit Card,Cancelled
309,496,2025-01-12,COD,Delivered
310,31,2025-04-12,Credit Card,Delivered
311,341,2024-09-20,Debit Card,Delivered
312,845,2025-12-22,Credit Card,Delivered
313,423,2025-12-13,Debit Card,Delivered
314,685,2025-01-22,Credit Card,Cancelled
315,851,2024-12-31,Debit Card,Cancelled
316,201,2025-12-18,UPI,Cancelled
317,398,2024-12-07,UPI,Delivered
318,135,2025-04-22,Credit Card,Delivered
319,842,2025-07-08,COD,Delivered
320,555,2025-02-03,COD,Delivered
321,575,2024-09-19,UPI,Delivered
322,565,2024-04-23,UPI,Delivered
323,477,2025-08-09,Credit Card,Delivered
324,392,2024-04-09,UPI,Delivered
325,142,2024-06-04,COD,Delivered
326,153,2024-03-20,Debit Card,Cancelled
327,719,2024-12-09,UPI,Cancelled
328,851,2025-01-30,Credit Card,Delivered
329,977,2025-05-10,UPI,Cancelled
330,967,2024-12-16,COD,Delivered
331,891,2025-02-09,Debit Card,Cancelled
332,634,2024-11-07,Credit Card,Delivered
333,242,2025-08-18,UPI,Delivered
334,715,2025-03-29,Credit Card,Delivered
335,887,2025-11-17,Credit Card,Delivered
336,393,2024-05-20,Credit Card,Delivered
337,471,2025-03-24,COD,Cancelled
338,134,2024-06-29,Debit Card,Cancelled
339,635,2025-10-10,UPI,Delivered
340,774,2025-12-18,Credit Card,Delivered
341,759,2024-06-10,UPI,Cancelled
342,218,2024-08-12,Credit Card,Cancelled
343,266,2024-05-29,UPI,Cancelled
344,796,2024-10-27,COD,Delivered
345,554,2024-06-21,COD,Cancelled
346,827,2024-05-01,Credit Card,Delivered
347,670,2025-06-05,COD,Delivered
348,133,2024-05-09,Debit Card,Delivered
349,499,2024-06-03,Credit Card,Delivered
350,15,2025-02-03,UPI,Delivered
351,868,2024-01-23,Debit Card,Delivered
352,885,2024-12-24,UPI,Delivered
353,754,2024-05-11,COD,Cancelled
354,477,2024-01-17,Debit Card,Delivered
355,686,2025-02-02,UPI,Cancelled
356,964,2024-07-06,UPI,Cancelled
357,215,2025-09-29,COD,Delivered
358,883,2024-11-28,Debit Card,Delivered
359,846,2025-06-08,Credit Card,Cancelled
360,575,2024-12-22,Credit Card,Cancelled
361,595,2025-11-12,UPI,Delivered
362,882,2024-12-06,UPI,Cancelled
363,771,2024-03-19,Debit Card,Cancelled
364,485,2025-05-16,UPI,Delivered
365,567,2024-07-30,UPI,Delivered
366,821,2025-11-29,COD,Delivered
367,497,2025-10-17,Debit Card,Delivered
368,685,2025-10-28,UPI,Delivered
369,375,2025-06-22,Credit Card,Delivered
370,720,2024-02-21,Credit Card,Delivered
371,242,2025-07-27,Credit Card,Delivered
372,263,2025-12-21,Credit Card,Delivered
373,917,2024-01-09,Credit Card,Delivered
374,994,2025-06-14,COD,Delivered
375,390,2025-09-17,COD,Cancelled
376,670,2024-06-24,Debit Card,Cancelled
377,470,2024-11-12,Credit Card,Delivered
378,899,2025-06-20,Debit Card,Cancelled
379,771,2025-03-22,COD,Cancelled
380,960,2025-08-31,UPI,Cancelled
381,918,2024-12-01,Debit Card,Delivered
382,319,2025-11-10,UPI,Cancelled
383,636,2024-04-19,UPI,Cancelled
384,722,2024-05-09,Debit Card,Delivered
385,655,2025-10-01,COD,Delivered
386,621,2024-08-06,UPI,Cancelled
387,706,2025-06-22,Debit Card,Delivered
388,107,2025-07-10,UPI,Delivered
389,494,2025-01-18,Debit Card,Delivered
390,938,2024-11-16,Debit Card,Cancelled
391,239,2024-07-24,UPI,Cancelled
392,32,2025-12-26,UPI,Delivered
393,762,2024-06-18,UPI,Cancelled
394,635,2024-03-29,COD,Delivered
395,850,2025-05-29,COD,Delivered
396,355,2024-03-26,Credit Card,Delivered
397,332,2024-07-22,Debit Card,Cancelled
398,961,2025-03-12,Debit Card,Cancelled
399,110,2025-06-17,Credit Card,Delivered
400,128,2025-06-11,Credit Card,Cancelled
401,73,2024-05-24,UPI,Delivered
402,371,2024-12-10,COD,Delivered
403,540,2024-01-07,UPI,Delivered
404,446,2024-02-09,COD,Delivered
405,780,2025-07-23,Credit Card,Delivered
406,231,2025-01-21,Debit Card,Cancelled
407,856,2025-06-26,COD,Delivered
408,839,2025-06-13,COD,Delivered
409,954,2025-03-04,COD,Delivered
410,447,2025-03-12,COD,Delivered
411,283,2025-11-16,UPI,Cancelled
412,517,2025-08-23,COD,Delivered
413,136,2024-03-22,UPI,Delivered
414,654,2024-01-27,COD,Cancelled
415,997,2025-06-29,UPI,Cancelled
416,605,2025-07-21,Debit Card,Delivered
417,936,2024-06-16,Credit Card,Delivered
418,253,2024-12-05,Credit Card,Delivered
419,561,2025-08-24,UPI,Cancelled
420,431,2025-06-01,Credit Card,Cancelled
421,491,2025-09-03,Debit Card,Cancelled
422,240,2026-01-04,UPI,Delivered
423,711,2025-07-31,Credit Card,Cancelled
424,615,2025-12-23,Debit Card,Cancelled
425,395,2024-11-04,Credit Card,Cancelled
426,209,2024-06-09,Credit Card,Cancelled
427,123,2024-09-13,Debit Card,Cancelled
428,729,2024-01-13,Credit Card,Cancelled
429,767,2024-02-12,UPI,Cancelled
430,85,2024-06-22,Debit Card,Cancelled
431,592,2024-05-05,UPI,Cancelled
432,882,2024-04-11,Credit Card,Delivered
433,906,2024-05-26,Debit Card,Delivered
434,970,2025-02-16,Credit Card,Cancelled
435,253,2024-04-26,Debit Card,Cancelled
436,444,2024-06-04,Credit Card,Delivered
437,410,2024-11-24,UPI,Delivered
438,756,2024-08-20,UPI,Delivered
439,993,2024-08-20,Debit Card,Cancelled
440,155,2024-10-24,UPI,Delivered
441,891,2025-04-26,COD,Cancelled
442,740,2024-02-03,COD,Delivered
443,952,2025-06-06,COD,Cancelled
444,313,2024-01-23,Credit Card,Delivered
445,830,2024-02-12,UPI,Delivered
446,115,2025-07-21,Credit Card,Delivered
447,538,2024-02-17,Debit Card,Delivered
448,634,2024-04-25,Debit Card,Cancelled
449,585,2024-07-29,COD,Cancelled
450,724,2024-01-06,Credit Card,Delivered
451,519,2024-07-25,Credit Card,Delivered
452,968,2024-11-14,Debit Card,Cancelled
453,406,2024-09-21,Debit Card,Delivered
454,165,2024-09-16,UPI,Cancelled
455,112,2025-12-02,Debit Card,Delivered
456,806,2025-01-27,Credit Card,Delivered
457,493,2024-07-01,Credit Card,Cancelled
458,291,2024-06-03,COD,Delivered
459,802,2025-02-28,COD,Delivered
460,417,2025-11-17,UPI,Cancelled
461,999,2024-11-11,UPI,Delivered
462,514,2025-05-10,COD,Delivered
463,958,2025-03-18,Debit Card,Delivered
464,555,2024-10-04,UPI,Cancelled
465,7,2025-01-21,COD,Delivered
466,701,2024-01-05,COD,Delivered
467,810,2025-08-10,Credit Card,Delivered
468,116,2025-11-06,COD,Delivered
469,678,2025-11-10,Credit Card,Cancelled
470,369,2024-09-20,Debit Card,Delivered
471,532,2025-06-14,Debit Card,Cancelled
472,822,2025-07-25,Credit Card,Cancelled
473,867,2025-01-18,COD,Delivered
474,535,2025-09-29,UPI,Delivered
475,3,2024-08-29,Debit Card,Delivered
476,999,2025-06-25,Credit Card,Delivered
477,89,2025-05-24,COD,Delivered
478,763,2024-09-15,Credit Card,Delivered
479,136,2025-11-12,UPI,Delivered
480,41,2024-05-06,UPI,Delivered
481,878,2025-09-04,COD,Cancelled
482,957,2025-04-30,COD,Delivered
483,530,2025-08-17,COD,Delivered
484,338,2024-01-18,UPI,Delivered
485,289,2024-07-26,Debit Card,Cancelled
486,875,2024-10-24,Credit Card,Delivered
487,904,2024-08-25,COD,Delivered
488,243,2025-11-23,COD,Delivered
489,145,2025-09-12,UPI,Delivered
490,582,2024-10-23,Debit Card,Delivered
491,135,2024-04-28,Debit Card,Delivered
492,966,2025-07-29,UPI,Delivered
493,847,2024-06-24,UPI,Delivered
494,418,2024-11-25,COD,Cancelled
495,481,2025-10-01,COD,Cancelled
496,149,2025-11-04,Credit Card,Cancelled
497,766,2024-08-07,COD,Cancelled
498,259,2024-10-24,Credit Card,Cancelled
499,451,2024-05-28,Debit Card,Delivered
500,795,2025-05-30,Credit Card,Cancelled
501,433,2025-01-11,Debit Card,Cancelled
502,158,2025-05-19,UPI,Cancelled
503,924,2025-12-27,Credit Card,Cancelled
504,151,2025-09-03,Debit Card,Delivered
505,616,2024-07-19,UPI,Cancelled
506,564,2024-12-01,UPI,Delivered
507,588,2025-02-21,Credit Card,Delivered
508,829,2024-11-22,Credit Card,Delivered
509,392,2025-12-22,COD,Delivered
510,485,2025-12-30,UPI,Delivered
511,86,2024-12-02,Debit Card,Delivered
512,452,2025-12-08,Credit Card,Cancelled
513,127,2025-07-28,UPI,Delivered
514,396,2025-05-29,COD,Cancelled
515,247,2025-07-24,UPI,Delivered
516,629,2024-12-03,UPI,Delivered
517,7,2025-07-21,Debit Card,Delivered
518,28,2024-05-15,Credit Card,Delivered
519,835,2024-08-09,COD,Cancelled
520,946,2024-04-04,UPI,Cancelled
521,487,2024-01-30,Credit Card,Delivered
522,451,2025-12-19,UPI,Delivered
523,591,2024-12-31,Credit Card,Delivered
524,941,2024-02-17,COD,Delivered
525,33,2025-06-28,COD,Delivered
526,484,2025-09-08,UPI,Cancelled
527,749,2025-01-15,Credit Card,Cancelled
528,597,2025-10-30,Debit Card,Delivered
529,517,2025-07-12,Debit Card,Delivered
530,182,2024-02-20,Debit Card,Delivered
531,415,2024-02-02,Credit Card,Cancelled
532,313,2025-10-26,COD,Cancelled
533,210,2024-05-06,COD,Delivered
534,858,2025-10-31,Debit Card,Delivered
535,763,2025-09-03,Debit Card,Delivered
536,33,2025-08-11,Debit Card,Delivered
537,944,2024-02-18,UPI,Delivered
538,264,2024-03-09,Credit Card,Delivered
539,658,2024-10-19,Credit Card,Cancelled
540,965,2025-11-26,UPI,Delivered
541,783,2024-05-22,Credit Card,Delivered
542,82,2024-04-04,UPI,Delivered
543,259,2025-06-07,COD,Cancelled
544,722,2025-11-08,Credit Card,Cancelled
545,647,2024-05-28,Credit Card,Cancelled
546,209,2025-04-11,UPI,Delivered
547,54,2025-03-07,UPI,Delivered
548,762,2024-08-24,Credit Card,Delivered
549,312,2025-09-04,COD,Cancelled
550,305,2024-11-26,Credit Card,Cancelled
551,655,2024-01-28,UPI,Delivered
552,886,2024-03-09,COD,Delivered
553,972,2025-09-11,Credit Card,Delivered
554,287,2025-04-27,Debit Card,Cancelled
555,406,2024-04-28,UPI,Delivered
556,728,2024-09-14,Credit Card,Cancelled
557,607,2025-03-24,Debit Card,Cancelled
558,849,2025-11-25,Credit Card,Delivered
559,408,2024-05-20,UPI,Cancelled
560,870,2024-03-01,Credit Card,Delivered
561,998,2024-11-06,Debit Card,Delivered
562,401,2024-11-03,Credit Card,Delivered
563,784,2025-02-02,UPI,Delivered
564,263,2024-08-17,UPI,Delivered
565,27,2025-04-24,Debit Card,Delivered
566,458,2024-03-26,Debit Card,Delivered
567,943,2025-12-13,UPI,Delivered
568,983,2025-02-05,COD,Cancelled
569,485,2025-09-30,Credit Card,Cancelled
570,97,2025-12-06,Debit Card,Cancelled
571,357,2024-03-29,COD,Delivered
572,811,2024-04-27,Credit Card,Cancelled
573,872,2024-01-16,COD,Cancelled
574,745,2025-08-22,Credit Card,Delivered
575,953,2024-01-09,Credit Card,Delivered
576,721,2025-08-18,Credit Card,Delivered
577,44,2024-11-18,COD,Delivered
578,863,2024-05-20,UPI,Delivered
579,875,2024-12-15,Debit Card,Delivered
580,221,2025-07-03,COD,Delivered
581,600,2025-03-08,Debit Card,Cancelled
582,715,2024-11-25,Debit Card,Delivered
583,484,2024-09-25,UPI,Delivered
584,485,2025-06-25,COD,Delivered
585,698,2025-07-01,COD,Delivered
586,932,2024-02-13,COD,Cancelled
587,529,2024-11-16,UPI,Cancelled
588,537,2024-12-27,COD,Delivered
589,201,2025-08-14,Debit Card,Delivered
590,876,2024-05-03,COD,Delivered
591,700,2025-07-07,Debit Card,Delivered
592,168,2026-01-04,Debit Card,Cancelled
593,562,2024-07-15,Credit Card,Delivered
594,238,2025-01-14,Credit Card,Delivered
595,962,2025-09-19,COD,Cancelled
596,676,2025-11-26,Credit Card,Cancelled
597,17,2024-10-26,Debit Card,Delivered
598,925,2025-03-10,COD,Delivered
599,660,2024-12-26,Credit Card,Delivered
600,782,2025-08-27,Credit Card,Cancelled
601,88,2024-03-04,Debit Card,Delivered
602,801,2025-05-17,UPI,Cancelled
603,387,2025-08-31,COD,Cancelled
604,533,2025-11-17,UPI,Cancelled
605,456,2025-09-10,UPI,Delivered
606,401,2025-10-22,Credit Card,Cancelled
607,306,2025-12-17,Debit Card,Delivered
608,245,2025-05-17,COD,Cancelled
609,384,2024-10-31,UPI,Delivered
610,955,2025-07-19,Debit Card,Delivered
611,614,2024-05-23,Credit Card,Delivered
612,627,2024-12-07,Debit Card,Delivered
613,38,2024-07-02,Debit Card,Delivered
614,581,2024-11-09,UPI,Cancelled
615,602,2024-06-13,UPI,Delivered
616,4,2024-11-23,Credit Card,Cancelled
617,1000,2025-02-26,Credit Card,Cancelled
618,914,2025-01-22,COD,Delivered
619,226,2024-04-30,Debit Card,Delivered
620,161,2024-05-01,UPI,Delivered
621,789,2025-04-09,UPI,Delivered
622,497,2024-01-11,UPI,Delivered
623,917,2025-08-16,UPI,Delivered
624,742,2024-06-27,COD,Cancelled
625,362,2025-08-25,COD,Delivered
626,670,2025-05-26,Debit Card,Delivered
627,539,2024-02-14,UPI,Cancelled
628,266,2025-04-28,Credit Card,Delivered
629,345,2025-08-02,Credit Card,Cancelled
630,982,2025-09-17,UPI,Delivered
631,682,2024-09-03,Debit Card,Delivered
632,88,2024-01-29,Debit Card,Cancelled
633,865,2024-02-10,COD,Delivered
634,177,2025-12-11,Credit Card,Delivered
635,346,2025-10-03,COD,Delivered
636,97,2024-04-26,Credit Card,Delivered
637,210,2025-01-03,Debit Card,Cancelled
638,644,2024-02-03,Debit Card,Cancelled
639,357,2025-06-12,Debit Card,Cancelled
640,705,2025-12-16,UPI,Delivered
641,356,2024-11-24,Debit Card,Delivered
642,374,2024-03-03,Debit Card,Delivered
643,234,2025-02-28,COD,Cancelled
644,32,2024-01-28,Debit Card,Delivered
645,381,2025-10-18,Credit Card,Cancelled
646,421,2025-04-29,UPI,Delivered
647,656,2024-09-29,Debit Card,Cancelled
648,603,2024-11-16,Credit Card,Delivered
649,799,2025-03-22,Debit Card,Delivered
650,155,2025-01-09,Debit Card,Delivered
651,203,2025-11-19,UPI,Delivered
652,130,2025-12-26,UPI,Cancelled
653,709,2025-06-28,COD,Delivered
654,910,2024-01-26,Debit Card,Cancelled
655,594,2024-07-11,COD,Cancelled
656,686,2024-10-01,Debit Card,Cancelled
657,950,2024-12-25,Debit Card,Cancelled
658,890,2025-11-04,Credit Card,Delivered
